Virus	Human	Weight
P0DTC1	A0FGR8	19.24
P0DTC1	A1L0T0	13.14
P0DTC1	O00116	11.59
P0DTC1	O00231	18.06
P0DTC1	O00232	18.06
P0DTC1	O00264	24.09
P0DTC1	O00303	12.37
P0DTC1	O00410	38.45
P0DTC1	O00459	20.85
P0DTC1	O00487	18.06
P0DTC1	O00571	12.37
P0DTC1	O00743	14.15
P0DTC1	O00767	15.88
P0DTC1	O14641	10.49
P0DTC1	O14654	13.83
P0DTC1	O14735	23.94
P0DTC1	O14744	15.17
P0DTC1	O14828	29.56
P0DTC1	O14907	10.66
P0DTC1	O14925	12.87
P0DTC1	O14981	11.59
P0DTC1	O15226	11.71
P0DTC1	O15260	12.46
P0DTC1	O15269	27.72
P0DTC1	O15294	17.51
P0DTC1	O15355	14.33
P0DTC1	O15427	12.01
P0DTC1	O43242	17.61
P0DTC1	O43251	17.28
P0DTC1	O43264	18.39
P0DTC1	O43324	13.02
P0DTC1	O43390	19.72
P0DTC1	O43617	17.89
P0DTC1	O60506	14.78
P0DTC1	O60701	12.01
P0DTC1	O60725	12.51
P0DTC1	O60884	12.37
P0DTC1	O75190	12.58
P0DTC1	O75348	12.35
P0DTC1	O75369	13.88
P0DTC1	O75419	28.31
P0DTC1	O75533	12.37
P0DTC1	O75569	18.2
P0DTC1	O75643	17.23
P0DTC1	O75688	21.86
P0DTC1	O75794	13.88
P0DTC1	O75844	23.24
P0DTC1	O75964	12.01
P0DTC1	O76071	12.51
P0DTC1	O94905	14.33
P0DTC1	O94906	24.17
P0DTC1	O95071	23.15
P0DTC1	O95347	12.19
P0DTC1	O95373	12.51
P0DTC1	O95573	17.15
P0DTC1	O95639	16.8
P0DTC1	O95757	12.01
P0DTC1	O95793	19.35
P0DTC1	O95816	20.31
P0DTC1	O95817	19.32
P0DTC1	O96008	12.37
P0DTC1	P00403	13.08
P0DTC1	P00533	12.01
P0DTC1	P01889	23.94
P0DTC1	P02511	13.7
P0DTC1	P02786	12.96
P0DTC1	P04181	12.09
P0DTC1	P04264	12.01
P0DTC1	P04350	12.37
P0DTC1	P04637	12.69
P0DTC1	P04792	19.32
P0DTC1	P04843	19.89
P0DTC1	P04844	14.56
P0DTC1	P04899	12.37
P0DTC1	P05023	14.33
P0DTC1	P05141	16.26
P0DTC1	P05198	12.01
P0DTC1	P05386	18.64
P0DTC1	P05387	14.91
P0DTC1	P05388	16.1
P0DTC1	P05556	10.22
P0DTC1	P06493	12.37
P0DTC1	P06576	14.93
P0DTC1	P06703	15.38
P0DTC1	P06733	18.99
P0DTC1	P06748	15.51
P0DTC1	P07237	22.43
P0DTC1	P07355	27.33
P0DTC1	P07437	27.42
P0DTC1	P07814	12.01
P0DTC1	P07900	15.29
P0DTC1	P07910	14.55
P0DTC1	P08195	30.19
P0DTC1	P08237	11.59
P0DTC1	P08238	15.29
P0DTC1	P08574	15.28
P0DTC1	P08729	13.73
P0DTC1	P08865	17.43
P0DTC1	P09651	20.69
P0DTC1	P0DI81	11.59
P0DTC1	P0DMV8	20.73
P0DTC1	P10809	22.24
P0DTC1	P11021	12.37
P0DTC1	P11142	24.82
P0DTC1	P11166	12.96
P0DTC1	P11940	26.21
P0DTC1	P12004	20.39
P0DTC1	P12236	26.97
P0DTC1	P13010	12.37
P0DTC1	P13639	15.29
P0DTC1	P13674	17.95
P0DTC1	P14618	12.01
P0DTC1	P14625	15.28
P0DTC1	P14678	17.47
P0DTC1	P14866	13.74
P0DTC1	P14868	15.43
P0DTC1	P15822	12.35
P0DTC1	P15880	22.24
P0DTC1	P16403	11.81
P0DTC1	P16520	12.19
P0DTC1	P16615	17.76
P0DTC1	P17812	14.83
P0DTC1	P17858	12.46
P0DTC1	P17980	12.37
P0DTC1	P17987	18.96
P0DTC1	P18085	12.96
P0DTC1	P18124	15.72
P0DTC1	P18583	10.66
P0DTC1	P18621	22.67
P0DTC1	P19338	22.99
P0DTC1	P19387	10.96
P0DTC1	P21333	12.59
P0DTC1	P21796	17.28
P0DTC1	P21912	12.63
P0DTC1	P21964	10.22
P0DTC1	P22392	12.01
P0DTC1	P22626	13.74
P0DTC1	P23396	25.5
P0DTC1	P23458	15.05
P0DTC1	P23528	15.29
P0DTC1	P23588	12.59
P0DTC1	P25205	14.84
P0DTC1	P25398	18.17
P0DTC1	P25705	12.37
P0DTC1	P25789	12.37
P0DTC1	P26373	21.86
P0DTC1	P26641	18.18
P0DTC1	P27348	22.85
P0DTC1	P27797	15.38
P0DTC1	P27816	10.05
P0DTC1	P27824	15.88
P0DTC1	P27986	15.67
P0DTC1	P29692	17.19
P0DTC1	P30050	22.67
P0DTC1	P30153	19.32
P0DTC1	P31689	12.37
P0DTC1	P31943	25.5
P0DTC1	P31946	16.26
P0DTC1	P33993	18.71
P0DTC1	P34931	10.3
P0DTC1	P35232	14.83
P0DTC1	P35268	11.91
P0DTC1	P35527	12.01
P0DTC1	P35606	15.28
P0DTC1	P35998	14.69
P0DTC1	P36542	12.82
P0DTC1	P36578	15.72
P0DTC1	P38159	16.32
P0DTC1	P38606	17.89
P0DTC1	P38646	19.32
P0DTC1	P39019	30.11
P0DTC1	P39023	15.72
P0DTC1	P39656	12.01
P0DTC1	P40227	19.32
P0DTC1	P40429	17.83
P0DTC1	P40616	12.01
P0DTC1	P40855	11.59
P0DTC1	P40937	11.9
P0DTC1	P40938	26.6
P0DTC1	P41252	12.01
P0DTC1	P42166	11.59
P0DTC1	P42167	11.9
P0DTC1	P42677	12.37
P0DTC1	P42704	14.71
P0DTC1	P42766	15.36
P0DTC1	P43243	18.85
P0DTC1	P43307	23.94
P0DTC1	P43487	17.89
P0DTC1	P43686	16.88
P0DTC1	P45880	12.01
P0DTC1	P45984	10.94
P0DTC1	P46734	12.01
P0DTC1	P46776	13.18
P0DTC1	P46778	16.1
P0DTC1	P46779	25.59
P0DTC1	P46781	19.81
P0DTC1	P46782	15.29
P0DTC1	P46783	16.1
P0DTC1	P46821	10.05
P0DTC1	P46977	29.4
P0DTC1	P47897	15.62
P0DTC1	P48047	13.47
P0DTC1	P48444	12.96
P0DTC1	P48553	13.91
P0DTC1	P48643	27.2
P0DTC1	P49368	19.41
P0DTC1	P49411	19.32
P0DTC1	P49589	10.66
P0DTC1	P49756	10.96
P0DTC1	P49770	17.89
P0DTC1	P50213	12.01
P0DTC1	P50402	14.83
P0DTC1	P50454	12.96
P0DTC1	P50914	22.67
P0DTC1	P50990	18.96
P0DTC1	P50991	19.32
P0DTC1	P51148	15.28
P0DTC1	P51398	10.58
P0DTC1	P51571	14.83
P0DTC1	P51617	20.75
P0DTC1	P51648	22.06
P0DTC1	P51659	13.82
P0DTC1	P51665	12.82
P0DTC1	P51991	10.49
P0DTC1	P52272	14.91
P0DTC1	P52292	16.37
P0DTC1	P52597	18.55
P0DTC1	P52701	15.01
P0DTC1	P52732	21.86
P0DTC1	P53007	33
P0DTC1	P53618	17.25
P0DTC1	P53621	15.28
P0DTC1	P54105	12.37
P0DTC1	P54136	15.01
P0DTC1	P55010	11.59
P0DTC1	P55060	12.01
P0DTC1	P55084	28.93
P0DTC1	P55209	19.32
P0DTC1	P55265	15.08
P0DTC1	P56182	15.57
P0DTC1	P57088	12.37
P0DTC1	P57740	28.31
P0DTC1	P60468	19.82
P0DTC1	P60604	10.22
P0DTC1	P60660	15.29
P0DTC1	P60709	12.37
P0DTC1	P60842	14.69
P0DTC1	P60866	15.72
P0DTC1	P60891	12.01
P0DTC1	P60903	15.65
P0DTC1	P60953	14.33
P0DTC1	P61247	24.78
P0DTC1	P61313	22.67
P0DTC1	P61353	14.91
P0DTC1	P61619	15.88
P0DTC1	P61962	18.73
P0DTC1	P61978	20.69
P0DTC1	P62081	12.37
P0DTC1	P62241	14.91
P0DTC1	P62244	29.3
P0DTC1	P62249	22.67
P0DTC1	P62258	15.9
P0DTC1	P62263	21.86
P0DTC1	P62266	14.91
P0DTC1	P62269	25.5
P0DTC1	P62277	26.47
P0DTC1	P62280	13.4
P0DTC1	P62304	12.01
P0DTC1	P62306	14.93
P0DTC1	P62314	12.37
P0DTC1	P62333	16.24
P0DTC1	P62424	22.67
P0DTC1	P62750	27.96
P0DTC1	P62753	21.86
P0DTC1	P62805	17.03
P0DTC1	P62820	12.51
P0DTC1	P62826	15.19
P0DTC1	P62829	25.93
P0DTC1	P62841	24.78
P0DTC1	P62847	18.64
P0DTC1	P62851	21.86
P0DTC1	P62899	13.4
P0DTC1	P62906	12.37
P0DTC1	P62913	20.13
P0DTC1	P62917	22.67
P0DTC1	P62979	12.17
P0DTC1	P63000	11.59
P0DTC1	P63104	12.1
P0DTC1	P63151	21.64
P0DTC1	P63167	15.48
P0DTC1	P63173	15.72
P0DTC1	P67775	10.19
P0DTC1	P67809	28.85
P0DTC1	P68032	12.37
P0DTC1	P68104	25.75
P0DTC1	P68133	18.76
P0DTC1	P68363	12.01
P0DTC1	P68366	14.93
P0DTC1	P68371	22.24
P0DTC1	P78527	15.16
P0DTC1	P82914	13.92
P0DTC1	P83731	15.72
P0DTC1	P84077	12.82
P0DTC1	P84085	12.96
P0DTC1	P84095	12.54
P0DTC1	P84098	15.72
P0DTC1	Q00325	22.24
P0DTC1	Q00587	19.24
P0DTC1	Q00610	17.75
P0DTC1	Q00839	13.74
P0DTC1	Q01813	18.2
P0DTC1	Q02539	14.65
P0DTC1	Q02878	22.67
P0DTC1	Q02978	15.29
P0DTC1	Q03188	10.66
P0DTC1	Q04323	12.37
P0DTC1	Q04637	12.37
P0DTC1	Q06210	14.83
P0DTC1	Q06830	12.37
P0DTC1	Q07021	12.37
P0DTC1	Q07065	12.51
P0DTC1	Q08211	14.84
P0DTC1	Q08AM6	10.96
P0DTC1	Q09666	19.75
P0DTC1	Q10570	13.13
P0DTC1	Q12769	22.01
P0DTC1	Q12797	12.64
P0DTC1	Q12905	21.28
P0DTC1	Q12906	17.47
P0DTC1	Q13144	23.24
P0DTC1	Q13151	10.49
P0DTC1	Q13155	14.06
P0DTC1	Q13185	11.81
P0DTC1	Q13200	22.14
P0DTC1	Q13445	12.01
P0DTC1	Q13501	17.26
P0DTC1	Q13838	12.01
P0DTC1	Q13885	12.01
P0DTC1	Q14008	14.33
P0DTC1	Q14160	13.93
P0DTC1	Q14204	11.13
P0DTC1	Q14232	17.89
P0DTC1	Q14257	18.96
P0DTC1	Q14258	11.53
P0DTC1	Q14315	12.59
P0DTC1	Q14318	14.95
P0DTC1	Q14669	12.01
P0DTC1	Q14697	14.83
P0DTC1	Q14974	15.07
P0DTC1	Q15003	12.01
P0DTC1	Q15008	15.14
P0DTC1	Q15046	17.75
P0DTC1	Q15208	10.05
P0DTC1	Q15365	32.23
P0DTC1	Q15366	14.93
P0DTC1	Q15370	14.33
P0DTC1	Q15633	11.79
P0DTC1	Q15645	12.51
P0DTC1	Q15717	10.49
P0DTC1	Q15773	15.23
P0DTC1	Q16531	15.46
P0DTC1	Q16576	12.37
P0DTC1	Q16891	12.37
P0DTC1	Q27J81	14.33
P0DTC1	Q2TB90	19.9
P0DTC1	Q3ZCQ8	17.7
P0DTC1	Q49A26	17.73
P0DTC1	Q53H12	12.64
P0DTC1	Q5C9Z4	20.75
P0DTC1	Q5H9R7	17.64
P0DTC1	Q5SRD1	14.02
P0DTC1	Q5SRE5	17.87
P0DTC1	Q5SUL5	14.62
P0DTC1	Q5T160	21.25
P0DTC1	Q5T4S7	12.01
P0DTC1	Q5VYK3	18.84
P0DTC1	Q5XKP0	12.13
P0DTC1	Q6NUQ1	11.59
P0DTC1	Q6NXE6	20.75
P0DTC1	Q6P1M0	12.44
P0DTC1	Q6P2E9	11.59
P0DTC1	Q6P2Q9	15.42
P0DTC1	Q6P3X3	28.81
P0DTC1	Q6RW13	16.94
P0DTC1	Q6ZRP7	12.54
P0DTC1	Q71U36	14.93
P0DTC1	Q7L1Q6	17.89
P0DTC1	Q7L2H7	12.37
P0DTC1	Q7Z4Q2	17.89
P0DTC1	Q86SZ2	11.59
P0DTC1	Q86UT6	11.59
P0DTC1	Q86VP6	12.01
P0DTC1	Q8IUR0	13.91
P0DTC1	Q8IV08	11.59
P0DTC1	Q8IYD1	12.01
P0DTC1	Q8N163	13.57
P0DTC1	Q8N1F7	15.88
P0DTC1	Q8N448	16.55
P0DTC1	Q8NBP0	11.59
P0DTC1	Q8NC51	22.31
P0DTC1	Q8NF37	17.15
P0DTC1	Q8NI27	11.59
P0DTC1	Q8NI60	20.75
P0DTC1	Q8TC07	15.57
P0DTC1	Q8TCT9	15.57
P0DTC1	Q8TEQ6	11.59
P0DTC1	Q8TEX9	14.83
P0DTC1	Q8WTW3	11.59
P0DTC1	Q8WUM0	22.01
P0DTC1	Q8WUY1	12.54
P0DTC1	Q8WVR3	11.59
P0DTC1	Q8WVX9	29.71
P0DTC1	Q8WXE1	11.59
P0DTC1	Q92499	17.39
P0DTC1	Q92522	11.37
P0DTC1	Q92526	10.46
P0DTC1	Q92542	14.97
P0DTC1	Q92569	10.47
P0DTC1	Q92598	23.2
P0DTC1	Q92616	12.51
P0DTC1	Q92621	31.13
P0DTC1	Q92945	15.07
P0DTC1	Q969Z0	11.59
P0DTC1	Q96A33	18.33
P0DTC1	Q96AG4	12.51
P0DTC1	Q96BN8	23.24
P0DTC1	Q96C19	12.01
P0DTC1	Q96CS3	19
P0DTC1	Q96ER3	17.89
P0DTC1	Q96HS1	12.52
P0DTC1	Q96IX5	12.37
P0DTC1	Q96JJ7	15.28
P0DTC1	Q96P70	12.51
P0DTC1	Q96PU8	12.19
P0DTC1	Q96Q05	19.26
P0DTC1	Q96SI9	13.22
P0DTC1	Q96T76	10.22
P0DTC1	Q96TA2	20.75
P0DTC1	Q99460	12.37
P0DTC1	Q99595	12.01
P0DTC1	Q99615	15.59
P0DTC1	Q99623	12.01
P0DTC1	Q99729	20.33
P0DTC1	Q99733	12.01
P0DTC1	Q99832	19.77
P0DTC1	Q9BQE3	12.37
P0DTC1	Q9BRK5	14.33
P0DTC1	Q9BT22	11.59
P0DTC1	Q9BTE7	18.31
P0DTC1	Q9BUF5	12.37
P0DTC1	Q9BUJ2	10.41
P0DTC1	Q9BXW9	22.01
P0DTC1	Q9BZQ6	12.09
P0DTC1	Q9C005	11.13
P0DTC1	Q9GZQ8	12.01
P0DTC1	Q9H3N1	17.89
P0DTC1	Q9H4A6	11.59
P0DTC1	Q9H900	11.59
P0DTC1	Q9HAV0	14.93
P0DTC1	Q9HCE1	13.55
P0DTC1	Q9NNW5	11.94
P0DTC1	Q9NP72	14.83
P0DTC1	Q9NQ92	12.89
P0DTC1	Q9NR50	23.24
P0DTC1	Q9NRN7	18.96
P0DTC1	Q9NRY5	11.59
P0DTC1	Q9NS69	12.01
P0DTC1	Q9NS86	12.37
P0DTC1	Q9NTJ3	14.81
P0DTC1	Q9NU22	12.09
P0DTC1	Q9NUL3	13.76
P0DTC1	Q9NVI1	28.76
P0DTC1	Q9NVI7	16.98
P0DTC1	Q9NVJ2	14.83
P0DTC1	Q9NX63	20.63
P0DTC1	Q9NX74	10.66
P0DTC1	Q9NXS2	24.16
P0DTC1	Q9NXV2	14.87
P0DTC1	Q9NY93	10.66
P0DTC1	Q9NZ01	24.44
P0DTC1	Q9NZJ7	12.01
P0DTC1	Q9NZL4	23.59
P0DTC1	Q9P035	25.25
P0DTC1	Q9P1Y5	10.36
P0DTC1	Q9P2E9	14.83
P0DTC1	Q9P2J5	14.51
P0DTC1	Q9UBB4	30.51
P0DTC1	Q9UBB6	11.59
P0DTC1	Q9UBF2	12.54
P0DTC1	Q9UBM7	23.59
P0DTC1	Q9UBQ5	12.01
P0DTC1	Q9UBS4	10.62
P0DTC1	Q9UBV2	12.54
P0DTC1	Q9UBW7	12.35
P0DTC1	Q9UBW8	12.01
P0DTC1	Q9UBX3	15.73
P0DTC1	Q9UG63	15.46
P0DTC1	Q9UHI6	17.89
P0DTC1	Q9UI10	24.05
P0DTC1	Q9UI12	21.25
P0DTC1	Q9UJ14	12.13
P0DTC1	Q9UJX3	11.59
P0DTC1	Q9ULT8	11.59
P0DTC1	Q9UM00	23.85
P0DTC1	Q9UNL2	12.01
P0DTC1	Q9UNM6	15.64
P0DTC1	Q9UPN7	11.59
P0DTC1	Q9Y224	10.72
P0DTC1	Q9Y262	14.65
P0DTC1	Q9Y287	10.22
P0DTC1	Q9Y296	11.59
P0DTC1	Q9Y2V7	10.96
P0DTC1	Q9Y2X3	28.78
P0DTC1	Q9Y3B4	12.37
P0DTC1	Q9Y3D0	11.59
P0DTC1	Q9Y3F4	11.59
P0DTC1	Q9Y3I0	15.35
P0DTC1	Q9Y3U8	12.37
P0DTC1	Q9Y3Z3	19.32
P0DTC1	Q9Y4F1	11.7
P0DTC1	Q9Y4R8	21.2
P0DTC1	Q9Y4W2	12.13
P0DTC1	Q9Y4W6	23.94
P0DTC1	Q9Y5M8	21.13
P0DTC1	Q9Y5V3	17.82
P0DTC1	Q9Y678	18.59
P0DTC1	Q9Y692	12.35
P0DTC1	Q9Y6E2	11.59
P0DTC1	Q9Y6M1	10.4
P0DTC1	Q9Y6N5	20.26
P0DTC1	Q9Y6X2	12.35
P0DTC2	A0FGR8	14.07
P0DTC2	A1L0T0	10.59
P0DTC2	O00231	12.67
P0DTC2	O00232	12.67
P0DTC2	O00264	16.91
P0DTC2	O00410	29.08
P0DTC2	O00487	12.67
P0DTC2	O00767	10.59
P0DTC2	O14735	14.8
P0DTC2	O14828	20.57
P0DTC2	O14967	15.67
P0DTC2	O15269	20.01
P0DTC2	O43242	11.2
P0DTC2	O43264	16.91
P0DTC2	O43303	12.29
P0DTC2	O43324	12.42
P0DTC2	O43617	13.33
P0DTC2	O43795	10.71
P0DTC2	O43889	12.39
P0DTC2	O75348	14.58
P0DTC2	O75419	13.33
P0DTC2	O75643	11.2
P0DTC2	O75688	12.89
P0DTC2	O75844	16.99
P0DTC2	O75947	11.11
P0DTC2	O94906	13.33
P0DTC2	O95219	12.29
P0DTC2	O95229	10.19
P0DTC2	O95373	12.42
P0DTC2	O95573	12.95
P0DTC2	O95816	14.78
P0DTC2	P00403	10.59
P0DTC2	P01857	12.29
P0DTC2	P01889	18.1
P0DTC2	P02786	13.89
P0DTC2	P04181	11.48
P0DTC2	P04792	12.89
P0DTC2	P04843	16.25
P0DTC2	P04844	12.42
P0DTC2	P05091	10.62
P0DTC2	P05387	10.94
P0DTC2	P05388	11.83
P0DTC2	P05556	13.89
P0DTC2	P06576	10.94
P0DTC2	P06703	10.31
P0DTC2	P06733	20.8
P0DTC2	P07237	14.78
P0DTC2	P07355	18.2
P0DTC2	P07437	12.44
P0DTC2	P07942	12.29
P0DTC2	P08195	24.04
P0DTC2	P08574	12.95
P0DTC2	P08729	12.67
P0DTC2	P08865	22.02
P0DTC2	P0DMV8	13.45
P0DTC2	P10809	10.79
P0DTC2	P11021	10.94
P0DTC2	P11142	12.89
P0DTC2	P11166	13.89
P0DTC2	P11940	12.85
P0DTC2	P12004	15.25
P0DTC2	P12236	13.89
P0DTC2	P13667	15.14
P0DTC2	P14625	20.93
P0DTC2	P14868	12.42
P0DTC2	P15822	14.58
P0DTC2	P16403	10.94
P0DTC2	P17812	14.78
P0DTC2	P17987	10.79
P0DTC2	P18085	10.59
P0DTC2	P18621	11.68
P0DTC2	P19338	12.89
P0DTC2	P19429	14.06
P0DTC2	P21796	10.31
P0DTC2	P21912	20.52
P0DTC2	P21964	10.59
P0DTC2	P23396	10.79
P0DTC2	P23458	12.83
P0DTC2	P25205	11.2
P0DTC2	P25705	10.94
P0DTC2	P26373	10.79
P0DTC2	P26641	16.25
P0DTC2	P27348	10.79
P0DTC2	P27540	12.29
P0DTC2	P27797	10.31
P0DTC2	P27824	18.57
P0DTC2	P30050	13.78
P0DTC2	P30153	10.79
P0DTC2	P30837	12.09
P0DTC2	P31943	10.79
P0DTC2	P33993	16.25
P0DTC2	P35232	14.78
P0DTC2	P35606	20.93
P0DTC2	P35658	10.66
P0DTC2	P35998	11.2
P0DTC2	P36542	12.41
P0DTC2	P38606	13.33
P0DTC2	P38646	10.79
P0DTC2	P39019	14.04
P0DTC2	P40227	10.79
P0DTC2	P40938	20.57
P0DTC2	P40939	13.52
P0DTC2	P42224	10.22
P0DTC2	P42704	12.42
P0DTC2	P43307	14.8
P0DTC2	P43487	18.73
P0DTC2	P43686	14.78
P0DTC2	P46776	11.83
P0DTC2	P46779	11.68
P0DTC2	P46781	11.2
P0DTC2	P46977	12.44
P0DTC2	P48047	15.99
P0DTC2	P48444	13.89
P0DTC2	P48553	10.26
P0DTC2	P48643	18.2
P0DTC2	P49368	12.26
P0DTC2	P49411	10.79
P0DTC2	P49770	13.33
P0DTC2	P50402	11.48
P0DTC2	P50454	13.89
P0DTC2	P50914	13.78
P0DTC2	P50990	10.79
P0DTC2	P50991	10.79
P0DTC2	P51148	12.95
P0DTC2	P51571	14.78
P0DTC2	P51617	13.33
P0DTC2	P51648	18.38
P0DTC2	P51665	10.31
P0DTC2	P52701	11.48
P0DTC2	P52732	10.79
P0DTC2	P53007	23.51
P0DTC2	P53618	11.2
P0DTC2	P53621	16.25
P0DTC2	P53985	10.22
P0DTC2	P54136	14.78
P0DTC2	P55084	25.34
P0DTC2	P55209	10.79
P0DTC2	P56182	10.97
P0DTC2	P57740	13.33
P0DTC2	P60468	14.37
P0DTC2	P60604	10.59
P0DTC2	P60709	15.62
P0DTC2	P60842	11.2
P0DTC2	P60903	12.67
P0DTC2	P60953	11.2
P0DTC2	P61026	10.71
P0DTC2	P61247	10.79
P0DTC2	P61313	11.68
P0DTC2	P61353	10.94
P0DTC2	P61619	15.27
P0DTC2	P62244	13.15
P0DTC2	P62249	11.68
P0DTC2	P62263	10.79
P0DTC2	P62269	10.79
P0DTC2	P62277	10.79
P0DTC2	P62333	13.89
P0DTC2	P62424	13.78
P0DTC2	P62750	13.45
P0DTC2	P62753	10.79
P0DTC2	P62820	12.42
P0DTC2	P62826	14.78
P0DTC2	P62829	11.68
P0DTC2	P62841	10.79
P0DTC2	P62851	10.79
P0DTC2	P62913	13.78
P0DTC2	P62917	11.68
P0DTC2	P63010	15.59
P0DTC2	P63104	10.71
P0DTC2	P63167	20.19
P0DTC2	P63208	15.59
P0DTC2	P67809	11.68
P0DTC2	P68104	10.79
P0DTC2	P68133	10.79
P0DTC2	P68371	10.79
P0DTC2	P78527	13.89
P0DTC2	P84077	10.31
P0DTC2	P84085	10.59
P0DTC2	P84095	12.95
P0DTC2	P84098	11.83
P0DTC2	Q00325	10.79
P0DTC2	Q00587	14.07
P0DTC2	Q00610	14.78
P0DTC2	Q01813	12.95
P0DTC2	Q02878	13.78
P0DTC2	Q05193	11.37
P0DTC2	Q06210	11.48
P0DTC2	Q07065	12.42
P0DTC2	Q08AM6	11.86
P0DTC2	Q09666	12.67
P0DTC2	Q12905	11.38
P0DTC2	Q13144	16.99
P0DTC2	Q13155	21.13
P0DTC2	Q13200	16.73
P0DTC2	Q13227	13.84
P0DTC2	Q13501	14.27
P0DTC2	Q13561	12.29
P0DTC2	Q13885	10.94
P0DTC2	Q14204	10.71
P0DTC2	Q14232	13.33
P0DTC2	Q14257	10.79
P0DTC2	Q14318	11.48
P0DTC2	Q14697	14.78
P0DTC2	Q14974	12.42
P0DTC2	Q15046	14.78
P0DTC2	Q15365	14.74
P0DTC2	Q15942	10.93
P0DTC2	Q16531	12.95
P0DTC2	Q16891	13.52
P0DTC2	Q2TB90	12.67
P0DTC2	Q3ZCQ8	12.67
P0DTC2	Q49A26	18.35
P0DTC2	Q4J6C6	12.29
P0DTC2	Q5C9Z4	13.33
P0DTC2	Q5H9R7	12.67
P0DTC2	Q5SRE5	11.48
P0DTC2	Q5SXM2	14.06
P0DTC2	Q5T160	16.91
P0DTC2	Q5VYK3	18.38
P0DTC2	Q5W0U4	10.19
P0DTC2	Q6NUQ1	12.58
P0DTC2	Q6NXE6	13.33
P0DTC2	Q6P1M0	10.73
P0DTC2	Q6P3X3	16.91
P0DTC2	Q6PI77	13.32
P0DTC2	Q6RW13	11.56
P0DTC2	Q6ZRP7	12.95
P0DTC2	Q7L1Q6	13.33
P0DTC2	Q7Z4Q2	13.33
P0DTC2	Q8IUR0	10.26
P0DTC2	Q8IV08	11.2
P0DTC2	Q8N163	12.36
P0DTC2	Q8N1F7	10.59
P0DTC2	Q8N448	11.17
P0DTC2	Q8N4C6	12.29
P0DTC2	Q8NC51	11.68
P0DTC2	Q8NF37	12.95
P0DTC2	Q8NI60	13.33
P0DTC2	Q8TC07	10.97
P0DTC2	Q8TCT9	10.97
P0DTC2	Q8TD31	12.29
P0DTC2	Q8TEX9	11.48
P0DTC2	Q8WUY1	12.95
P0DTC2	Q8WVX9	24.53
P0DTC2	Q92598	12.26
P0DTC2	Q92621	19.27
P0DTC2	Q92973	12.42
P0DTC2	Q96AG4	12.42
P0DTC2	Q96BN8	16.99
P0DTC2	Q96CS3	16.53
P0DTC2	Q96ER3	13.33
P0DTC2	Q96HA1	13.32
P0DTC2	Q96JJ7	12.95
P0DTC2	Q96MW5	12.29
P0DTC2	Q96P70	12.42
P0DTC2	Q96Q05	17.22
P0DTC2	Q96T76	10.59
P0DTC2	Q96TA2	13.33
P0DTC2	Q99615	10.47
P0DTC2	Q99832	12.26
P0DTC2	Q9BPX3	12.42
P0DTC2	Q9BQE3	10.94
P0DTC2	Q9BSY4	12.29
P0DTC2	Q9BTE7	14.27
P0DTC2	Q9BZQ6	11.48
P0DTC2	Q9C005	10.71
P0DTC2	Q9H1D9	14.06
P0DTC2	Q9H3N1	13.33
P0DTC2	Q9H3R5	12.29
P0DTC2	Q9H5Q4	12.84
P0DTC2	Q9HCN8	13.03
P0DTC2	Q9NP72	11.48
P0DTC2	Q9NR50	16.99
P0DTC2	Q9NRN7	10.79
P0DTC2	Q9NS73	12.29
P0DTC2	Q9NU22	11.48
P0DTC2	Q9NVI1	14.8
P0DTC2	Q9NVJ2	11.48
P0DTC2	Q9NX63	21.31
P0DTC2	Q9NXS2	14.8
P0DTC2	Q9NXV2	11.2
P0DTC2	Q9NYU2	15.39
P0DTC2	Q9NZ01	26.36
P0DTC2	Q9NZL4	13.33
P0DTC2	Q9P035	23.15
P0DTC2	Q9P2E9	14.78
P0DTC2	Q9P2J5	11.2
P0DTC2	Q9UBB4	30.3
P0DTC2	Q9UBF2	12.95
P0DTC2	Q9UBM7	13.33
P0DTC2	Q9UBS4	10.71
P0DTC2	Q9UBV2	17.63
P0DTC2	Q9UBW7	14.58
P0DTC2	Q9UG63	12.95
P0DTC2	Q9UHI6	13.33
P0DTC2	Q9UI10	17.88
P0DTC2	Q9UI12	16.91
P0DTC2	Q9UM00	13.33
P0DTC2	Q9UNL2	10.22
P0DTC2	Q9UNM6	16.25
P0DTC2	Q9Y265	10.71
P0DTC2	Q9Y287	10.59
P0DTC2	Q9Y2G8	10.22
P0DTC2	Q9Y2V7	11.86
P0DTC2	Q9Y2X3	18.38
P0DTC2	Q9Y3F4	11.2
P0DTC2	Q9Y3Z3	12.89
P0DTC2	Q9Y4R8	14.8
P0DTC2	Q9Y4W6	14.8
P0DTC2	Q9Y5M8	16.91
P0DTC2	Q9Y678	17.72
P0DTC2	Q9Y692	13.55
P0DTC2	Q9Y6N5	12.67
P0DTC2	Q9Y6N6	12.29
P0DTC2	Q9Y6X2	14.58
P0DTC4	A0AV96	10.15
P0DTC4	A0FGR8	60.6
P0DTC4	A1L0T0	16.31
P0DTC4	A6NKF1	18.68
P0DTC4	B0QYN7	18.11
P0DTC4	B4DLN1	15.97
P0DTC4	B4DV09	11.96
P0DTC4	B4E022	19.37
P0DTC4	B4E3T4	21.05
P0DTC4	C9J2Y9	10.51
P0DTC4	D6REE5	25.74
P0DTC4	D6RJ07	18.11
P0DTC4	E9PE17	10.15
